level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1600	900	-1	
2	1	1	0	0	0	87	48	862	51	-1	
3	1	1	1	0	0	87	48	862	51	-1	
4	1	1	1	1	0	87	48	862	51	-1	
5	1	1	1	1	1	87	48	102	51	96.746536	实验
5	1	1	1	1	2	216	48	80	51	93.219391	结果
5	1	1	1	1	3	301	68	8	25	93.206650	:
5	1	1	1	1	4	334	49	53	50	93.118500	受
5	1	1	1	1	5	391	50	26	48	92.428894	限
5	1	1	1	1	6	439	48	29	51	93.050224	内
5	1	1	1	1	7	496	48	27	51	91.309547	存
5	1	1	1	1	8	548	51	28	48	85.899612	下
5	1	1	1	1	9	596	48	33	50	96.981094	的
5	1	1	1	1	10	653	51	31	48	93.218338	不
5	1	1	1	1	11	710	48	27	51	93.166153	输
5	1	1	1	1	12	757	48	30	51	93.228165	内
5	1	1	1	1	13	805	48	38	51	92.204941	存
5	1	1	1	1	14	866	48	30	51	93.012619	方
5	1	1	1	1	15	919	48	30	50	93.036232	案
2	1	2	0	0	0	97	186	1112	140	-1	
3	1	2	1	0	0	97	186	1112	67	-1	
4	1	2	1	1	0	99	186	1110	30	-1	
5	1	2	1	1	1	99	197	9	9	38.692009	©
5	1	2	1	1	2	119	191	87	20	85.923233	SIFT1M
5	1	2	1	1	3	216	186	58	28	40.666470	峰值
5	1	2	1	1	4	284	191	40	20	72.046410	RSs
5	1	2	1	1	5	333	191	51	20	95.308701	30.7
5	1	2	1	1	6	394	192	39	19	96.924500	MB
5	1	2	1	1	7	442	198	13	9	96.906586	=
5	1	2	1	1	8	475	186	46	28	92.770493	数据
5	1	2	1	1	9	533	186	35	28	92.832581	集
5	1	2	1	1	10	567	182	23	39	89.130898	的
5	1	2	1	1	11	590	190	96	26	91.669365	8%(20%
5	1	2	1	1	12	695	187	28	27	87.029762	硬
5	1	2	1	1	13	1108	189	14	16	92.729996	同
5	1	2	1	1	14	1130	189	10	16	95.938049	机
5	1	2	1	1	15	1144	189	65	16	91.820457	aps
5	1	2	1	1	16	1177	181	23	39	92.962517	对
5	1	2	1	1	17	1199	181	13	39	92.655235	比
4	1	2	1	2	0	97	223	66	30	-1	
5	1	2	1	2	1	97	223	58	28	85.235046	约束
5	1	2	1	2	2	158	227	5	26	93.184189	)
5	1	2	1	2	3	832	221	17	8	59.816555	“
3	1	2	2	0	0	99	259	476	30	-1	
4	1	2	2	1	0	99	259	476	30	-1	
5	1	2	2	1	1	99	270	9	9	64.768539	©
5	1	2	2	1	2	120	263	125	25	92.309692	Recall@10
5	1	2	2	1	3	254	259	217	30	90.528328	88.53%(
5	1	2	2	1	4	364	253	36	41	89.041504	赛
5	1	2	2	1	5	399	253	27	41	93.186386	题
5	1	2	2	1	6	425	253	32	41	93.243210	要
5	1	2	2	1	7	456	253	26	41	93.136414	求
5	1	2	2	1	8	480	268	28	15	90.881523	>=
5	1	2	2	1	9	516	263	59	26	96.558914	85%)
3	1	2	3	0	0	99	296	750	30	-1	
4	1	2	3	1	0	99	296	569	30	-1	
5	1	2	3	1	1	99	307	9	9	93.101753	。
5	1	2	3	1	2	126	296	38	28	91.991127	单
5	1	2	3	1	3	179	297	28	27	93.305733	线程
5	1	2	3	1	4	216	301	47	23	57.379883	QPs
5	1	2	3	1	5	273	301	110	24	92.536201	1600+,16
5	1	2	3	1	6	393	296	57	28	96.597534	线程
5	1	2	3	1	7	459	300	135	26	91.207298	5346(3.94x
5	1	2	3	1	8	602	296	66	30	92.657303	扩展
5	1	2	3	1	9	659	290	11	42	93.001190	)
5	1	2	3	1	10	832	314	17	8	19.660006	ol
2	1	3	0	0	0	99	333	551	30	-1	
3	1	3	1	0	0	99	333	551	30	-1	
4	1	3	1	1	0	99	333	551	30	-1	
5	1	3	1	1	1	99	344	9	9	92.810898	。
5	1	3	1	1	2	127	334	18	27	87.325722	写
5	1	3	1	1	3	160	333	46	28	95.045883	放大
5	1	3	1	1	4	217	338	56	20	89.394249	115x
5	1	3	1	1	5	281	342	22	14	93.305313	->
5	1	3	1	1	6	312	333	27	28	93.000511	约
5	1	3	1	1	7	350	338	196	25	88.661110	1x;SQLITE_BUSY
5	1	3	1	1	8	555	338	42	20	92.743088	129
5	1	3	1	1	9	606	342	22	15	95.668747	->
5	1	3	1	1	10	637	338	13	20	96.917320	0
2	1	4	0	0	0	844	779	656	9	-1	
3	1	4	1	0	0	844	779	656	9	-1	
4	1	4	1	1	0	844	779	656	9	-1	
5	1	4	1	1	1	844	779	656	9	95.000000	 
2	1	5	0	0	0	907	796	539	10	-1	
3	1	5	1	0	0	907	796	539	10	-1	
4	1	5	1	1	0	907	796	539	10	-1	
5	1	5	1	1	1	907	796	45	10	31.593313	pipeANN
5	1	5	1	1	2	1076	796	35	8	57.804131	hnswlb
5	1	5	1	1	3	1230	796	20	8	83.767822	faiss
5	1	5	1	1	4	1254	796	29	8	36.370888	HNSW
5	1	5	1	1	5	1393	796	21	8	35.551609	falss
5	1	5	1	1	6	1417	796	29	9	72.065201	NFPQ
2	1	6	0	0	0	74	848	1054	18	-1	
3	1	6	1	0	0	74	848	1054	18	-1	
4	1	6	1	1	0	74	848	1054	18	-1	
5	1	6	1	1	1	74	848	63	18	95.258324	1/27/13
5	1	6	1	1	2	1118	850	10	13	96.220985	4
